No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
12,Security,Use sandbox mode,Run renderer in sandboxed environment,sandbox: true in webPreferences,Disable sandbox to access Node APIs directly,"webPreferences: { sandbox: true }","webPreferences: { sandbox: false }",Critical,https://www.electronjs.org/docs/latest/tutorial/sandbox
13,Security,Validate file paths,Prevent path traversal attacks when accessing files,Validate and normalize paths before file operations,Trust user-provided paths directly,"const safePath = path.resolve(allowedDir, path.basename(userPath))","fs.readFile(userPath) // User controls path",Critical,https://www.electronjs.org/docs/latest/tutorial/security
14,Security,Disable remote module,Remote module is deprecated and insecure,Remove all remote module usage,Use @electron/remote as workaround,"import { ipcRenderer } from 'electron' // Via preload only","const { BrowserWindow } = require('@electron/remote')","Critical",https://www.electronjs.org/docs/latest/tutorial/security
15,Security,Set proper CSP headers,Content Security Policy prevents XSS and injection,Set restrictive CSP in HTML meta tag or headers,Allow unsafe-inline or unsafe-eval,"<meta http-equiv=""Content-Security-Policy"" content=""default-src 'self'"">","<meta content=""script-src 'unsafe-eval'"">",High,https://www.electronjs.org/docs/latest/tutorial/security
16,Menu,Create native application menu,Follow platform conventions for menu structure,Use Menu.setApplicationMenu with proper template,Skip application menu entirely,"Menu.setApplicationMenu(Menu.buildFromTemplate(template))","// No menu defined",Medium,https://www.electronjs.org/docs/latest/api/menu
17,Menu,Use role-based menu items,Leverage built-in roles for standard actions,Use role: 'copy' for standard Edit menu items,Manually implement standard behaviors,"{ label: 'Copy', role: 'copy' }","{ label: 'Copy', click: () => clipboard.writeText(...) }",Medium,https://www.electronjs.org/docs/latest/api/menu-item
18,Menu,Implement context menus properly,Right-click menus should be context-aware,Show different menus based on clicked element,Use single global context menu everywhere,"window.api.showContextMenu(elementType)","addEventListener('contextmenu', showGlobalMenu)",Medium,https://www.electronjs.org/docs/latest/api/menu
19,Menu,Support keyboard shortcuts,Map menu items to accelerators,Define accelerator for frequently used actions,Skip accelerator definitions,"{ label: 'Save', accelerator: 'CmdOrCtrl+S', click: save }","{ label: 'Save', click: save } // No shortcut",High,https://www.electronjs.org/docs/latest/api/accelerator
20,Menu,Handle menu state correctly,Disable menu items when action is unavailable,Update menu enabled state based on app state,Leave all menu items always enabled,"menuItem.enabled = hasSelection","// Menu items always clickable",Low,https://www.electronjs.org/docs/latest/api/menu-item
21,Tray,Create system tray correctly,Tray icon should be platform-appropriate,Use template images on macOS (icon@2x.png),Use single icon for all platforms,"tray = new Tray(path.join(__dirname, 'iconTemplate.png'))","tray = new Tray('icon.png') // Wrong on macOS",Medium,https://www.electronjs.org/docs/latest/api/tray
22,Tray,Handle tray click events properly,Single click vs double click behavior differs by platform,Show menu on right-click; toggle window on click (macOS),Same behavior on all platforms,"tray.on('click', toggleWindow); tray.on('right-click', showMenu)","tray.on('click', showMenu) // Unexpected on macOS",Medium,https://www.electronjs.org/docs/latest/api/tray
23,Tray,Update tray icon dynamically,Reflect app state in tray icon,Change icon based on sync/notification status,Static tray icon regardless of state,"tray.setImage(hasNotifications ? 'icon-badge.png' : 'icon.png')","// Icon never changes",Low,https://www.electronjs.org/docs/latest/api/tray
24,Updates,Implement auto-updates,Keep app updated without user intervention,Use electron-updater with proper signing,Manual update checks only,"autoUpdater.checkForUpdatesAndNotify()","// User must download manually",High,https://www.electronjs.org/docs/latest/tutorial/updates
25,Updates,Handle update lifecycle properly,Inform users about updates without interrupting workflow,Show non-intrusive notification when update ready,Force restart immediately,"autoUpdater.on('update-downloaded', showRestartPrompt)","autoUpdater.on('update-downloaded', autoUpdater.quitAndInstall)",Medium,https://www.electronjs.org/docs/latest/api/auto-updater
26,Updates,Support staged rollouts,Gradually roll out updates to catch issues,Configure update server for percentage-based rollout,Push updates to 100% immediately,"// Server returns update based on user percentage","// All users get update at once",Low,https://www.electronjs.org/docs/latest/tutorial/updates
27,Updates,Verify update signatures,Prevent malicious update injection,Sign app and updates with valid certificate,Skip code signing for development convenience,"// Use electron-builder with CSC_LINK","// Unsigned builds for production",Critical,https://www.electronjs.org/docs/latest/tutorial/code-signing
28,Performance,Lazy load heavy modules,Reduce startup time by deferring non-critical imports,Dynamic import() for features not needed immediately,Import everything at top of file,"const heavy = await import('./heavy-module')","import heavy from './heavy-module' // Top-level",High,https://www.electronjs.org/docs/latest/tutorial/performance
29,Performance,Use web workers for CPU tasks,Keep main thread responsive during heavy computation,Offload parsing/processing to worker threads,Run heavy computation in renderer main thread,"const worker = new Worker('worker.js'); worker.postMessage(data)","JSON.parse(hugeString) // Blocks UI",High,https://developer.mozilla.org/en-US/docs/Web/API/Web_Workers_API
30,Performance,Optimize renderer process memory,Prevent memory leaks in long-running app,Clean up listeners and references when views change,Accumulate listeners without cleanup,"useEffect(() => { sub(); return () => unsub() }, [])","window.api.on('event', handler) // Never removed",High,https://www.electronjs.org/docs/latest/tutorial/performance
31,Performance,Use process.tracing for debugging,Profile performance issues with Chrome DevTools,Enable tracing for specific categories when debugging,Leave tracing enabled in production,"contentTracing.startRecording({ categoryFilter: 'disabled-by-default-v8.cpu_profiler' })","// Tracing always on",Low,https://www.electronjs.org/docs/latest/api/content-tracing
32,Performance,Minimize IPC overhead,Batch related IPC calls to reduce round-trips,Send batched data in single IPC call,Multiple sequential IPC calls for related data,"window.api.invoke('batch', { items: [...] })","items.forEach(item => window.api.invoke('save', item))",Medium,https://www.electronjs.org/docs/latest/tutorial/performance
33,Dialog,Use native dialogs correctly,File/message dialogs should match platform style,Use dialog.showOpenDialog for file selection,Custom HTML-based file picker,"const result = await dialog.showOpenDialog({ properties: ['openFile'] })","<input type=""file""> // Doesn't match native",Medium,https://www.electronjs.org/docs/latest/api/dialog
34,Dialog,Handle dialog cancellation,User may cancel any dialog,Check for canceled property in dialog result,Assume dialog always returns valid selection,"if (!result.canceled) { processFiles(result.filePaths) }","processFiles(result.filePaths) // May be undefined",High,https://www.electronjs.org/docs/latest/api/dialog
35,Dialog,Parent dialogs to windows,Dialogs should be modal to their parent window,Pass parentWindow to dialog methods,Show dialogs without parent (floats independently),"dialog.showMessageBox(mainWindow, options)","dialog.showMessageBox(options) // No parent",Medium,https://www.electronjs.org/docs/latest/api/dialog
36,Storage,Use appropriate storage mechanism,Choose storage based on data type and size,electron-store for settings; SQLite for structured data,localStorage for everything,"const Store = require('electron-store'); const store = new Store()","localStorage.setItem('settings', JSON.stringify(...))","Medium",https://github.com/sindresorhus/electron-store
37,Storage,Store data in correct location,Use platform-appropriate directories,app.getPath('userData') for app data,Hardcode paths or use app directory,"const dataPath = path.join(app.getPath('userData'), 'data.json')","const dataPath = './data.json' // Wrong location",High,https://www.electronjs.org/docs/latest/api/app
38,Storage,Handle storage errors,File system operations can fail,Wrap storage operations in try-catch,Assume storage always succeeds,"try { await fs.writeFile(path, data) } catch (e) { showError(e) }","fs.writeFileSync(path, data) // May throw",High,https://nodejs.org/api/fs.html
39,Crash,Implement crash reporting,Collect crash data for debugging,Use crashReporter.start() with submission URL,No crash reporting in production,"crashReporter.start({ submitURL: 'https://...', uploadToServer: true })","// Crashes go unreported",High,https://www.electronjs.org/docs/latest/api/crash-reporter
40,Crash,Handle renderer crashes gracefully,Renderer process may crash independently,Listen for 'render-process-gone' and recover,Let crash propagate to whole app,"mainWindow.webContents.on('render-process-gone', reloadOrRecover)","// Renderer crash = app crash",High,https://www.electronjs.org/docs/latest/api/web-contents
41,Crash,Preserve unsaved work,Auto-save or warn before potential data loss,Implement periodic auto-save to temp location,Only save on explicit user action,"setInterval(() => autoSave(), 60000)","// Only save on Cmd+S",Medium,https://www.electronjs.org/docs/latest/tutorial/application-debugging
42,Deep Link,Register protocol handler,Handle custom URL schemes (myapp://),Use app.setAsDefaultProtocolClient during setup,Forget to register protocol on install,"app.setAsDefaultProtocolClient('myapp')","// Protocol not registered",Medium,https://www.electronjs.org/docs/latest/tutorial/launch-app-from-url-in-another-app
43,Deep Link,Handle deep links on startup,Process URL that launched the app,Check process.argv on Windows; use open-url event on macOS,"app.on('open-url', (e, url) => handleDeepLink(url))","// Deep links ignored",Medium,https://www.electronjs.org/docs/latest/tutorial/launch-app-from-url-in-another-app
44,Deep Link,Validate deep link parameters,Prevent injection through URL parameters,Sanitize and validate all URL parameters,Trust URL parameters directly,"const safeId = encodeURIComponent(url.searchParams.get('id'))","const id = url.searchParams.get('id') // Used directly",High,https://www.electronjs.org/docs/latest/tutorial/security
45,Accessibility,Implement keyboard navigation,All features accessible via keyboard,Support Tab focus and Enter activation,Mouse-only interactions,"<button onClick={action}>Action</button>","<div onClick={action}>Action</div> // Not focusable",High,https://www.electronjs.org/docs/latest/tutorial/accessibility
46,Accessibility,Set accessibility labels,Screen readers need descriptive labels,Use aria-label for non-text interactive elements,Rely on visual-only context,"<button aria-label=""Close dialog""><XIcon /></button>","<button><XIcon /></button> // No label",High,https://www.electronjs.org/docs/latest/tutorial/accessibility
47,Accessibility,Support high contrast mode,Respect system accessibility settings,Detect and respond to contrast preference,Fixed styles regardless of preference,"@media (prefers-contrast: high) { /* Adjust */ }","// Same styles always",Medium,https://www.electronjs.org/docs/latest/tutorial/accessibility
48,Accessibility,Handle reduced motion,Respect user's motion preferences,Check prefers-reduced-motion and disable animations,Always animate regardless of preference,"@media (prefers-reduced-motion: reduce) { animation: none }","// Animations always play",Medium,https://www.electronjs.org/docs/latest/tutorial/accessibility
49,DevTools,Disable DevTools in production,Prevent users from accessing internal tools,Only enable DevTools in development mode,Ship with DevTools accessible,"if (isDev) mainWindow.webContents.openDevTools()","mainWindow.webContents.openDevTools() // Always",Medium,https://www.electronjs.org/docs/latest/api/web-contents
50,DevTools,Implement safe reload,Allow dev reload without losing state,Store state before reload and restore after,Lose all state on Cmd+R,"ipcMain.on('reload', () => { saveState(); mainWindow.reload() })","// Plain reload loses state",Low,https://www.electronjs.org/docs/latest/api/browser-window
51,Packaging,Configure asar correctly,Package app files efficiently,Enable asar for most files; exclude native modules,Disable asar entirely or include binaries,"asar: true, asarUnpack: ['**/*.node']","asar: false // Slower startup",Medium,https://www.electronjs.org/docs/latest/tutorial/asar-archives
52,Packaging,Minimize bundle size,Reduce download and startup time,Exclude dev dependencies and unused files,Include entire node_modules,"files: ['dist/**/*', '!node_modules']","// Default includes everything",High,https://www.electronjs.org/docs/latest/tutorial/application-distribution
53,Packaging,Sign and notarize for macOS,Required for distribution outside App Store,Use electron-builder with proper notarization config,Skip notarization (app won't launch on modern macOS),"afterSign: 'scripts/notarize.js'","// No notarization",Critical,https://www.electronjs.org/docs/latest/tutorial/code-signing
54,Packaging,Create installers for Windows,Professional Windows distribution experience,Use NSIS installer with proper settings,Distribute raw executable only,"nsis: { oneClick: false, perMachine: true }","// No installer",Medium,https://www.electron.build/configuration/nsis
55,Packaging,Support Linux formats,Cover major Linux distributions,Build AppImage for universal compatibility; deb/rpm for repos,Single format for all Linux distros,"linux: { target: ['AppImage', 'deb', 'rpm'] }","linux: { target: 'deb' } // Limited reach",Low,https://www.electron.build/configuration/linux
